starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 10:46:18 2023	1680239778	4	1029	1033	1029
Fri Mar 31 10:46:18 2023	1680239778	4	1034	1037	1033
Fri Mar 31 10:46:18 2023	1680239778	5	2652	2657	2652
Fri Mar 31 10:46:18 2023	1680239778	3	2654	2658	2654
Fri Mar 31 10:46:18 2023	1680239778	4	3130	3134	3130
Fri Mar 31 10:46:18 2023	1680239778	4	4716	4720	4716
Fri Mar 31 10:46:18 2023	1680239778	4	4733	4737	4732
Fri Mar 31 10:46:18 2023	1680239778	3	4734	4737	4734
Fri Mar 31 10:46:18 2023	1680239778	4	4740	4744	4739
Fri Mar 31 10:46:13 2023	1680239773	0	4848	4848	4844
Fri Mar 31 10:46:18 2023	1680239778	3	5652	5655	5652
Fri Mar 31 10:46:18 2023	1680239778	3	6098	6101	6097
Fri Mar 31 10:46:18 2023	1680239778	3	6648	6652	6648
Fri Mar 31 10:46:18 2023	1680239778	3	6796	6800	6796
Fri Mar 31 10:46:18 2023	1680239778	4	8097	8102	8097
Fri Mar 31 10:46:18 2023	1680239778	4	8098	8102	8098
Fri Mar 31 10:46:18 2023	1680239778	4	8100	8104	8100
Fri Mar 31 10:46:18 2023	1680239778	3	8521	8524	8521
Fri Mar 31 10:46:18 2023	1680239778	4	9233	9237	9233
Fri Mar 31 10:46:18 2023	1680239778	2	9750	9752	9750
Fri Mar 31 10:46:18 2023	1680239778	4	9792	9796	9792
Fri Mar 31 10:46:18 2023	1680239778	4	9850	9854	9850
Fri Mar 31 10:46:18 2023	1680239778	3	10296	10299	10296
Fri Mar 31 10:46:18 2023	1680239778	4	10389	10393	10388
Fri Mar 31 10:46:18 2023	1680239778	5	10817	10822	10817
Fri Mar 31 10:46:18 2023	1680239778	4	10862	10865	10862
Fri Mar 31 10:46:18 2023	1680239778	4	12545	12548	12545
Fri Mar 31 10:46:18 2023	1680239778	3	12605	12608	12605
Fri Mar 31 10:46:18 2023	1680239778	3	12615	12618	12615
Fri Mar 31 10:46:18 2023	1680239778	3	13495	13499	13495
Fri Mar 31 10:46:18 2023	1680239778	3	13731	13734	13731
Fri Mar 31 10:46:18 2023	1680239778	3	13765	13768	13765
Fri Mar 31 10:46:18 2023	1680239778	4	14693	14697	14693
Fri Mar 31 10:46:18 2023	1680239778	3	16241	16244	16241
Fri Mar 31 10:46:18 2023	1680239778	3	16245	16248	16245
Fri Mar 31 10:46:18 2023	1680239778	3	16245	16248	16245
Fri Mar 31 10:46:18 2023	1680239778	3	16855	16858	16855
Fri Mar 31 10:46:18 2023	1680239778	3	17085	17088	17085
Fri Mar 31 10:46:18 2023	1680239778	3	17441	17444	17441
Fri Mar 31 10:46:18 2023	1680239778	3	17610	17613	17610
Fri Mar 31 10:46:18 2023	1680239778	4	17620	17624	17620
Fri Mar 31 10:46:18 2023	1680239778	3	18930	18933	18929
Fri Mar 31 10:46:18 2023	1680239778	2	19643	19646	19643
Fri Mar 31 10:46:18 2023	1680239778	3	19644	19646	19644
Fri Mar 31 10:46:18 2023	1680239778	5	19649	19653	19649
Fri Mar 31 10:46:18 2023	1680239778	4	19650	19654	19650
Fri Mar 31 10:46:18 2023	1680239778	2	20682	20684	20682
Fri Mar 31 10:46:18 2023	1680239778	4	20684	20688	20684
Fri Mar 31 10:46:18 2023	1680239778	3	21330	21332	21330
Fri Mar 31 10:46:18 2023	1680239778	2	21350	21353	21350
Fri Mar 31 10:46:18 2023	1680239778	2	21879	21882	21879
Fri Mar 31 10:46:18 2023	1680239778	2	22315	22317	22315
Fri Mar 31 10:46:18 2023	1680239778	3	22992	22995	22992
Fri Mar 31 10:46:18 2023	1680239778	2	23025	23028	23025
Fri Mar 31 10:46:18 2023	1680239778	2	23373	23375	23373
Fri Mar 31 10:46:18 2023	1680239778	2	23474	23476	23474
Fri Mar 31 10:46:18 2023	1680239778	2	24626	24629	24626
Fri Mar 31 10:46:18 2023	1680239778	3	24628	24631	24628
Fri Mar 31 10:46:18 2023	1680239778	2	25485	25486	25485
Fri Mar 31 10:46:18 2023	1680239778	2	26146	26149	26146
Fri Mar 31 10:46:18 2023	1680239778	2	26401	26403	26401
