starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 11:23:00 2023	1680241980	10	1232	1242	1231
Fri Mar 31 11:22:56 2023	1680241976	0	3235	3235	3218
Fri Mar 31 11:23:00 2023	1680241980	9	3619	3629	3619
Fri Mar 31 11:23:00 2023	1680241980	10	3624	3634	3624
Fri Mar 31 11:23:00 2023	1680241980	9	3625	3635	3621
Fri Mar 31 11:23:00 2023	1680241980	14	3803	3817	3803
Fri Mar 31 11:23:00 2023	1680241980	13	4995	5008	4995
Fri Mar 31 11:23:00 2023	1680241980	13	12444	12457	12444
Fri Mar 31 11:23:00 2023	1680241980	13	12453	12467	12453
Fri Mar 31 11:23:00 2023	1680241980	14	12453	12467	12453
Fri Mar 31 11:23:00 2023	1680241980	13	14382	14396	14382
Fri Mar 31 11:23:00 2023	1680241980	13	16239	16252	16239
Fri Mar 31 11:23:00 2023	1680241980	13	16240	16253	16239
Fri Mar 31 11:23:00 2023	1680241980	13	16468	16481	16468
Fri Mar 31 11:23:00 2023	1680241980	13	19197	19210	19197
Fri Mar 31 11:23:00 2023	1680241980	12	19205	19218	19201
Fri Mar 31 11:23:00 2023	1680241980	12	19210	19222	19210
Fri Mar 31 11:23:00 2023	1680241980	13	19810	19823	19810
Fri Mar 31 11:23:00 2023	1680241980	12	22241	22253	22240
Fri Mar 31 11:23:00 2023	1680241980	12	22245	22258	22245
Fri Mar 31 11:23:00 2023	1680241980	12	22265	22277	22263
Fri Mar 31 11:23:00 2023	1680241980	12	23379	23391	23379
Fri Mar 31 11:23:00 2023	1680241980	12	25759	25771	25759
Fri Mar 31 11:23:00 2023	1680241980	12	25765	25777	25765
Fri Mar 31 11:23:00 2023	1680241980	12	25789	25801	25789
Fri Mar 31 11:23:00 2023	1680241980	11	26330	26342	26330
Fri Mar 31 11:23:00 2023	1680241980	11	28998	29009	28998
Fri Mar 31 11:23:00 2023	1680241980	11	29001	29012	29000
Fri Mar 31 11:23:00 2023	1680241980	11	29010	29021	29009
Fri Mar 31 11:23:00 2023	1680241980	11	29575	29586	29575
Fri Mar 31 11:26:36 2023	1680242196	0	29632	29632	29631
