starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 11:24:58 2023	1680242098	0	46622	46622	46621
Fri Mar 31 11:24:59 2023	1680242099	0	46644	46644	46644
Fri Mar 31 11:24:28 2023	1680242068	0	46915	46915	46915
Fri Mar 31 11:24:35 2023	1680242075	0	46918	46918	46918
Fri Mar 31 11:24:56 2023	1680242096	0	46955	46955	46954
Fri Mar 31 11:25:02 2023	1680242102	0	47220	47220	47219
Fri Mar 31 11:24:43 2023	1680242083	0	47345	47345	47345
Fri Mar 31 11:24:43 2023	1680242083	0	47440	47440	47440
Fri Mar 31 11:24:34 2023	1680242074	0	47742	47743	47742
Fri Mar 31 11:24:42 2023	1680242082	0	48293	48293	48293
Fri Mar 31 11:24:33 2023	1680242073	0	49115	49115	49115
