starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 11:25:05 2023	1680242105	0	31531	31531	31531
Fri Mar 31 11:25:03 2023	1680242103	1	31530	31531	31529
Fri Mar 31 11:24:13 2023	1680242053	0	31533	31533	31533
Fri Mar 31 11:25:08 2023	1680242108	0	31558	31558	31556
Fri Mar 31 11:23:53 2023	1680242033	0	31559	31559	31558
Fri Mar 31 11:24:13 2023	1680242053	0	31563	31563	31563
Fri Mar 31 11:24:19 2023	1680242059	0	31570	31570	31570
Fri Mar 31 11:24:19 2023	1680242059	0	31576	31576	31576
Fri Mar 31 11:24:07 2023	1680242047	0	31603	31603	31603
Fri Mar 31 11:24:03 2023	1680242043	0	31650	31650	31650
Fri Mar 31 11:24:03 2023	1680242043	0	31661	31661	31661
Fri Mar 31 11:23:38 2023	1680242018	0	31731	31731	31730
Fri Mar 31 11:24:36 2023	1680242076	1	31805	31806	31805
Fri Mar 31 11:23:57 2023	1680242037	0	31816	31816	31816
Fri Mar 31 11:24:00 2023	1680242040	0	31908	31908	31908
Fri Mar 31 11:24:19 2023	1680242059	0	31975	31975	31975
Fri Mar 31 11:24:00 2023	1680242040	1	31978	31979	31978
Fri Mar 31 11:23:24 2023	1680242004	0	31996	31996	31996
Fri Mar 31 11:23:30 2023	1680242010	0	32079	32079	32079
Fri Mar 31 11:24:04 2023	1680242044	0	32119	32119	32119
Fri Mar 31 11:24:07 2023	1680242047	0	32176	32176	32176
Fri Mar 31 11:23:56 2023	1680242036	0	32205	32206	32205
Fri Mar 31 11:24:06 2023	1680242046	0	32220	32221	32220
Fri Mar 31 11:23:33 2023	1680242013	0	32233	32233	32232
Fri Mar 31 11:24:16 2023	1680242056	0	32262	32262	32262
Fri Mar 31 11:24:10 2023	1680242050	0	32269	32269	32269
Fri Mar 31 11:25:08 2023	1680242108	0	32304	32304	32304
Fri Mar 31 11:23:59 2023	1680242039	0	32327	32327	32327
Fri Mar 31 11:23:21 2023	1680242001	0	32331	32331	32331
Fri Mar 31 11:23:41 2023	1680242021	0	32377	32377	32376
Fri Mar 31 11:23:29 2023	1680242009	0	32416	32417	32416
Fri Mar 31 11:23:40 2023	1680242020	0	32454	32454	32454
Fri Mar 31 11:25:07 2023	1680242107	0	32514	32514	32513
Fri Mar 31 11:23:36 2023	1680242016	0	32543	32543	32543
Fri Mar 31 11:25:16 2023	1680242116	0	32595	32595	32595
Fri Mar 31 11:24:10 2023	1680242050	0	32637	32638	32637
Fri Mar 31 11:23:25 2023	1680242005	0	32640	32640	32640
Fri Mar 31 11:23:34 2023	1680242014	0	32674	32674	32673
Fri Mar 31 11:23:37 2023	1680242017	1	32687	32688	32686
Fri Mar 31 11:23:21 2023	1680242001	1	32764	32765	32764
Fri Mar 31 11:25:01 2023	1680242101	0	32769	32770	32769
Fri Mar 31 11:23:27 2023	1680242007	0	32791	32791	32791
Fri Mar 31 11:23:27 2023	1680242007	0	32793	32793	32793
Fri Mar 31 11:24:57 2023	1680242097	0	32799	32799	32799
Fri Mar 31 11:25:04 2023	1680242104	0	32821	32821	32821
Fri Mar 31 11:23:30 2023	1680242010	0	32927	32927	32927
Fri Mar 31 11:23:29 2023	1680242009	0	32982	32982	32982
Fri Mar 31 11:24:19 2023	1680242059	0	33039	33039	33039
Fri Mar 31 11:23:54 2023	1680242034	0	33062	33063	33062
Fri Mar 31 11:24:35 2023	1680242075	0	33103	33103	33103
Fri Mar 31 11:24:13 2023	1680242053	0	33107	33107	33107
Fri Mar 31 11:24:09 2023	1680242049	0	33125	33126	33125
Fri Mar 31 11:23:23 2023	1680242003	0	33164	33164	33164
Fri Mar 31 11:23:57 2023	1680242037	0	33164	33165	33164
Fri Mar 31 11:24:49 2023	1680242089	0	33187	33187	33187
Fri Mar 31 11:23:50 2023	1680242030	0	33193	33193	33193
Fri Mar 31 11:23:46 2023	1680242026	0	33210	33210	33210
Fri Mar 31 11:23:40 2023	1680242020	0	33211	33211	33211
Fri Mar 31 11:23:46 2023	1680242026	0	33217	33217	33216
Fri Mar 31 11:25:00 2023	1680242100	0	33530	33530	33530
Fri Mar 31 11:23:18 2023	1680241998	0	33554	33554	33554
Fri Mar 31 11:22:59 2023	1680241979	5	33590	33595	33590
Fri Mar 31 11:22:59 2023	1680241979	4	33592	33597	33592
Fri Mar 31 11:23:42 2023	1680242022	0	33602	33602	33601
Fri Mar 31 11:22:59 2023	1680241979	3	33643	33646	33643
Fri Mar 31 11:25:03 2023	1680242103	0	33778	33778	33778
Fri Mar 31 11:24:05 2023	1680242045	1	33831	33831	33830
Fri Mar 31 11:25:00 2023	1680242100	0	33833	33833	33833
Fri Mar 31 11:23:29 2023	1680242009	0	33834	33834	33834
Fri Mar 31 11:22:59 2023	1680241979	3	33903	33906	33903
