starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 10:22:20 2023	1680238340	1	1246	1248	1235
Fri Mar 31 10:22:20 2023	1680238340	2	1675	1677	1675
Fri Mar 31 10:22:20 2023	1680238340	2	1688	1690	1688
Fri Mar 31 10:22:20 2023	1680238340	2	1728	1730	1728
Fri Mar 31 10:22:20 2023	1680238340	12	2191	2203	2191
Fri Mar 31 10:23:48 2023	1680238428	0	2435	2435	2435
Fri Mar 31 10:23:52 2023	1680238432	0	2437	2437	2437
Fri Mar 31 10:22:58 2023	1680238378	0	2439	2439	2439
Fri Mar 31 10:22:39 2023	1680238359	0	2440	2440	2440
Fri Mar 31 10:23:49 2023	1680238429	0	2442	2442	2441
Fri Mar 31 10:23:51 2023	1680238431	0	2465	2465	2465
Fri Mar 31 10:22:40 2023	1680238360	0	2468	2468	2468
Fri Mar 31 10:23:50 2023	1680238430	0	2468	2468	2468
Fri Mar 31 10:22:26 2023	1680238346	0	2469	2469	2469
Fri Mar 31 10:22:26 2023	1680238346	0	2470	2470	2470
Fri Mar 31 10:22:27 2023	1680238347	0	2470	2470	2470
Fri Mar 31 10:23:33 2023	1680238413	0	2473	2474	2473
Fri Mar 31 10:22:56 2023	1680238376	0	2476	2476	2475
Fri Mar 31 10:22:57 2023	1680238377	0	2478	2478	2478
Fri Mar 31 10:22:26 2023	1680238346	0	2480	2480	2480
Fri Mar 31 10:22:38 2023	1680238358	0	2481	2481	2481
Fri Mar 31 10:22:56 2023	1680238376	0	2481	2481	2481
Fri Mar 31 10:23:38 2023	1680238418	0	2481	2482	2481
Fri Mar 31 10:22:39 2023	1680238359	0	2491	2491	2491
Fri Mar 31 10:22:53 2023	1680238373	0	2504	2504	2504
Fri Mar 31 10:23:43 2023	1680238423	0	2507	2507	2506
Fri Mar 31 10:22:57 2023	1680238377	0	2507	2507	2507
Fri Mar 31 10:22:56 2023	1680238376	0	2509	2510	2509
Fri Mar 31 10:22:54 2023	1680238374	0	2515	2515	2515
Fri Mar 31 10:22:43 2023	1680238363	0	2516	2516	2516
Fri Mar 31 10:22:58 2023	1680238378	0	2517	2517	2516
Fri Mar 31 10:22:57 2023	1680238377	0	2520	2520	2519
Fri Mar 31 10:23:35 2023	1680238415	0	2520	2520	2520
Fri Mar 31 10:22:55 2023	1680238375	0	2529	2529	2528
Fri Mar 31 10:22:42 2023	1680238362	0	2531	2531	2531
Fri Mar 31 10:22:29 2023	1680238349	0	2535	2536	2535
Fri Mar 31 10:22:38 2023	1680238358	0	2536	2536	2536
Fri Mar 31 10:23:50 2023	1680238430	0	2540	2540	2540
Fri Mar 31 10:23:39 2023	1680238419	0	2540	2540	2540
Fri Mar 31 10:23:39 2023	1680238419	0	2542	2542	2541
Fri Mar 31 10:22:55 2023	1680238375	0	2546	2546	2546
Fri Mar 31 10:22:22 2023	1680238342	0	2555	2555	2555
Fri Mar 31 10:23:45 2023	1680238425	0	2560	2561	2560
Fri Mar 31 10:22:41 2023	1680238361	0	2563	2563	2563
Fri Mar 31 10:22:44 2023	1680238364	0	2567	2567	2567
Fri Mar 31 10:22:42 2023	1680238362	0	2568	2568	2567
Fri Mar 31 10:23:49 2023	1680238429	0	2570	2570	2570
Fri Mar 31 10:23:51 2023	1680238431	0	2573	2573	2573
Fri Mar 31 10:23:36 2023	1680238416	0	2573	2574	2573
Fri Mar 31 10:23:40 2023	1680238420	0	2574	2574	2573
Fri Mar 31 10:23:34 2023	1680238414	0	2577	2577	2576
Fri Mar 31 10:22:26 2023	1680238346	0	2579	2579	2579
Fri Mar 31 10:23:36 2023	1680238416	0	2585	2585	2585
Fri Mar 31 10:22:22 2023	1680238342	0	2590	2590	2590
Fri Mar 31 10:22:43 2023	1680238363	0	2593	2593	2593
Fri Mar 31 10:23:37 2023	1680238417	0	2594	2594	2594
Fri Mar 31 10:23:51 2023	1680238431	0	2596	2596	2596
Fri Mar 31 10:23:40 2023	1680238420	0	2598	2598	2597
Fri Mar 31 10:23:37 2023	1680238417	0	2601	2601	2600
Fri Mar 31 10:22:54 2023	1680238374	0	2601	2601	2601
Fri Mar 31 10:22:57 2023	1680238377	0	2603	2603	2603
Fri Mar 31 10:23:52 2023	1680238432	0	2608	2608	2608
Fri Mar 31 10:22:56 2023	1680238376	0	2609	2609	2608
Fri Mar 31 10:23:37 2023	1680238417	0	2610	2610	2609
Fri Mar 31 10:22:30 2023	1680238350	0	2615	2615	2615
Fri Mar 31 10:22:25 2023	1680238345	0	2615	2615	2615
Fri Mar 31 10:22:40 2023	1680238360	0	2615	2615	2615
Fri Mar 31 10:22:41 2023	1680238361	0	2616	2616	2615
Fri Mar 31 10:22:28 2023	1680238348	0	2616	2616	2616
Fri Mar 31 10:23:36 2023	1680238416	0	2616	2617	2616
Fri Mar 31 10:23:10 2023	1680238390	0	2618	2618	2617
Fri Mar 31 10:23:50 2023	1680238430	0	2619	2619	2619
Fri Mar 31 10:23:35 2023	1680238415	0	2620	2620	2619
Fri Mar 31 10:23:43 2023	1680238423	0	2620	2620	2620
Fri Mar 31 10:22:25 2023	1680238345	0	2620	2620	2620
Fri Mar 31 10:22:24 2023	1680238344	0	2621	2622	2621
Fri Mar 31 10:23:37 2023	1680238417	0	2622	2623	2622
Fri Mar 31 10:23:42 2023	1680238422	0	2627	2627	2627
Fri Mar 31 10:23:10 2023	1680238390	0	2629	2629	2629
Fri Mar 31 10:22:58 2023	1680238378	0	2630	2631	2630
Fri Mar 31 10:23:50 2023	1680238430	0	2632	2633	2632
