starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 10:25:31 2023	1680238531	0	2348	2348	2347
Fri Mar 31 10:25:53 2023	1680238553	0	2355	2355	2354
Fri Mar 31 10:24:14 2023	1680238454	0	2356	2356	2356
Fri Mar 31 10:24:41 2023	1680238481	0	2362	2362	2361
Fri Mar 31 10:24:27 2023	1680238467	0	2362	2362	2362
Fri Mar 31 10:26:50 2023	1680238610	0	2366	2366	2366
Fri Mar 31 10:24:10 2023	1680238450	0	2368	2369	2368
Fri Mar 31 10:24:34 2023	1680238474	0	2372	2372	2371
Fri Mar 31 10:25:32 2023	1680238532	0	2380	2380	2380
Fri Mar 31 10:24:34 2023	1680238474	0	2383	2383	2383
Fri Mar 31 10:24:20 2023	1680238460	0	2384	2385	2384
Fri Mar 31 10:26:28 2023	1680238588	0	2395	2395	2395
Fri Mar 31 10:24:42 2023	1680238482	0	2400	2401	2400
Fri Mar 31 10:24:38 2023	1680238478	0	2406	2406	2406
Fri Mar 31 10:25:17 2023	1680238517	0	2416	2417	2416
Fri Mar 31 10:26:42 2023	1680238602	0	2427	2427	2427
Fri Mar 31 10:25:36 2023	1680238536	0	2436	2436	2436
Fri Mar 31 10:26:19 2023	1680238579	0	2478	2479	2478
Fri Mar 31 10:26:25 2023	1680238585	0	2486	2486	2486
Fri Mar 31 10:24:37 2023	1680238477	0	2517	2518	2517
Fri Mar 31 10:26:21 2023	1680238581	0	2518	2518	2517
Fri Mar 31 10:26:08 2023	1680238568	0	2555	2555	2555
Fri Mar 31 10:27:01 2023	1680238621	0	2567	2568	2567
Fri Mar 31 10:25:22 2023	1680238522	0	2571	2571	2571
Fri Mar 31 10:24:37 2023	1680238477	0	2577	2577	2577
Fri Mar 31 10:25:54 2023	1680238554	0	2581	2581	2581
Fri Mar 31 10:25:18 2023	1680238518	0	2581	2581	2581
Fri Mar 31 10:24:40 2023	1680238480	0	2598	2599	2598
Fri Mar 31 10:25:01 2023	1680238501	0	2611	2611	2611
Fri Mar 31 10:27:20 2023	1680238640	0	2613	2613	2612
Fri Mar 31 10:25:01 2023	1680238501	0	2620	2620	2620
Fri Mar 31 10:24:42 2023	1680238482	0	2620	2621	2620
Fri Mar 31 10:27:27 2023	1680238647	0	2631	2631	2631
Fri Mar 31 10:25:05 2023	1680238505	0	2633	2633	2632
Fri Mar 31 10:26:32 2023	1680238592	0	2637	2637	2637
Fri Mar 31 10:27:13 2023	1680238633	0	2649	2649	2649
Fri Mar 31 10:24:45 2023	1680238485	0	2661	2662	2661
Fri Mar 31 10:26:45 2023	1680238605	0	2680	2680	2680
Fri Mar 31 10:27:01 2023	1680238621	1	2684	2685	2684
Fri Mar 31 10:24:47 2023	1680238487	0	2706	2706	2706
Fri Mar 31 10:26:49 2023	1680238609	0	2710	2710	2710
Fri Mar 31 10:26:55 2023	1680238615	0	2730	2730	2730
Fri Mar 31 10:26:12 2023	1680238572	0	2731	2731	2731
Fri Mar 31 10:27:11 2023	1680238631	0	2759	2759	2759
Fri Mar 31 10:26:42 2023	1680238602	0	2761	2762	2761
Fri Mar 31 10:27:28 2023	1680238648	0	2777	2777	2777
Fri Mar 31 10:26:46 2023	1680238606	0	2787	2787	2787
Fri Mar 31 10:24:00 2023	1680238440	0	2795	2795	2795
Fri Mar 31 10:27:31 2023	1680238651	0	2799	2799	2799
Fri Mar 31 10:25:55 2023	1680238555	0	2805	2805	2805
Fri Mar 31 10:25:06 2023	1680238506	0	2806	2806	2806
Fri Mar 31 10:26:34 2023	1680238594	0	2807	2807	2807
Fri Mar 31 10:25:10 2023	1680238510	0	2814	2815	2814
Fri Mar 31 10:25:09 2023	1680238509	0	2834	2834	2834
Fri Mar 31 10:27:20 2023	1680238640	0	2863	2864	2863
Fri Mar 31 10:26:58 2023	1680238618	0	2866	2867	2866
Fri Mar 31 10:27:19 2023	1680238639	0	2877	2877	2877
Fri Mar 31 10:25:09 2023	1680238509	0	2890	2890	2890
Fri Mar 31 10:26:25 2023	1680238585	0	2890	2890	2889
Fri Mar 31 10:27:03 2023	1680238623	0	2897	2897	2897
Fri Mar 31 10:23:56 2023	1680238436	1	2901	2902	2901
Fri Mar 31 10:25:18 2023	1680238518	0	2903	2904	2903
Fri Mar 31 10:24:46 2023	1680238486	0	2905	2906	2905
Fri Mar 31 10:26:27 2023	1680238587	0	2928	2928	2927
Fri Mar 31 10:25:04 2023	1680238504	0	2930	2930	2930
Fri Mar 31 10:24:39 2023	1680238479	0	2951	2951	2951
Fri Mar 31 10:26:40 2023	1680238600	0	2966	2966	2966
Fri Mar 31 10:25:21 2023	1680238521	0	2981	2981	2981
Fri Mar 31 10:27:13 2023	1680238633	0	2984	2985	2984
Fri Mar 31 10:25:02 2023	1680238502	0	2986	2986	2986
Fri Mar 31 10:24:22 2023	1680238462	0	2986	2986	2986
Fri Mar 31 10:26:06 2023	1680238566	0	2992	2992	2991
Fri Mar 31 10:25:56 2023	1680238556	0	2992	2992	2992
Fri Mar 31 10:24:16 2023	1680238456	1	2994	2996	2994
Fri Mar 31 10:26:35 2023	1680238595	0	3004	3004	3004
Fri Mar 31 10:25:33 2023	1680238533	0	3012	3012	3012
Fri Mar 31 10:27:20 2023	1680238640	0	3013	3013	3012
Fri Mar 31 10:24:12 2023	1680238452	0	3031	3032	3031
Fri Mar 31 10:24:26 2023	1680238466	0	3053	3053	3053
Fri Mar 31 10:25:11 2023	1680238511	0	3063	3063	3063
Fri Mar 31 10:24:40 2023	1680238480	0	3063	3064	3063
Fri Mar 31 10:25:52 2023	1680238552	0	3070	3070	3070
Fri Mar 31 10:26:34 2023	1680238594	0	3087	3088	3087
Fri Mar 31 10:25:02 2023	1680238502	0	3096	3096	3096
Fri Mar 31 10:26:37 2023	1680238597	0	3104	3104	3104
Fri Mar 31 10:25:04 2023	1680238504	0	3108	3109	3108
Fri Mar 31 10:25:06 2023	1680238506	0	3111	3111	3111
Fri Mar 31 10:24:05 2023	1680238445	0	3119	3119	3119
